Part Name,Type,State,Device,Situation,Last Version,Dependent to,Relevant to,File Name,Function,Info,file directory
Environment,Config,Final,General,On local,1.0.0,N/A,"prisma.ts, auth.ts, kavenegar.ts",.env,Environment Configuration,Stores environment variables and secrets,e:\Cavian\Cavian V0.1.0\
Git Ignore,Config,Final,General,On local,1.0.0,N/A,N/A,.gitignore,Git Ignore,Specifies files to be ignored by Git,e:\Cavian\Cavian V0.1.0\
ReadMe,Doc,Document writing,General,On local,1.0.0,N/A,N/A,README.md,Documentation,Project overview and setup instructions,e:\Cavian\Cavian V0.1.0\
ESLint Config,Config,Final,General,On local,1.0.0,N/A,N/A,eslint.config.mjs,Code Linting,ESLint configuration for code quality,e:\Cavian\Cavian V0.1.0\
TypeScript Config,Config,Final,General,On local,1.0.0,Next.js,N/A,tsconfig.json,TypeScript,TypeScript configuration,e:\Cavian\Cavian V0.1.0\
TypeScript Paths,Config,Final,General,On local,1.0.0,TypeScript,N/A,tsconfig.paths.json,TypeScript,Path aliases configuration,e:\Cavian\Cavian V0.1.0\
Next Config,Config,Final,General,On local,1.0.0,Next.js,N/A,next.config.ts,Next.js,Next.js configuration file,e:\Cavian\Cavian V0.1.0\
PostCSS Config,Config,Final,General,On local,1.0.0,Tailwind CSS,N/A,postcss.config.mjs,PostCSS,PostCSS configuration,e:\Cavian\Cavian V0.1.0\
Package JSON,Config,Final,General,On local,1.0.0,Node.js,N/A,package.json,Dependencies,Project dependencies and scripts,e:\Cavian\Cavian V0.1.0\
Package Lock,Config,Final,General,On local,1.0.0,Node.js,N/A,package-lock.json,Dependencies,Exact dependency tree for installation,e:\Cavian\Cavian V0.1.0\
Next Env,Type,Final,General,On local,1.0.0,Next.js,N/A,next-env.d.ts,TypeScript,TypeScript declarations for Next.js,e:\Cavian\Cavian V0.1.0\
Prisma Schema,Schema,Final,Database,On local,1.0.0,Prisma Client,N/A,schema.prisma,Database,Database schema definition,e:\Cavian\Cavian V0.1.0\prisma\
Database Migration,Script,Final,Database,On local,1.0.0,schema.prisma,N/A,migration.sql,Database,Database migration files,e:\Cavian\Cavian V0.1.0\prisma\migrations\20250608192104_first_schema\
Auth Service,Service,Final,General,On local,1.0.0,"bcryptjs, jsonwebtoken, process.env","all API routes, prisma.ts",auth.ts,Authentication,Handles JWT and password hashing,e:\Cavian\Cavian V0.1.0\lib\
Kavenegar Service,Service,Final,General,On local,1.0.0,"axios, process.env","forgot-password/request/route.ts, otp/request/route.ts",kavenegar.ts,SMS Service,Handles OTP sending via Kavenegar API,e:\Cavian\Cavian V0.1.0\lib\
Error Handler,Lib,Final,General,On local,1.0.0,"next/server, @types/node","all API routes, auth.ts, kavenegar.ts",error-handler.ts,Error Handling,Centralized error handling utilities,e:\Cavian\Cavian V0.1.0\lib\
Rate Limiter,Lib,Final,General,On local,1.0.0,"error-handler.ts, @types/node","otp/request/route.ts, forgot-password/request/route.ts",rate-limiter.ts,Rate Limiting,API rate limiting middleware,e:\Cavian\Cavian V0.1.0\lib\
OTP Utils,Lib,Final,General,On local,1.0.0,N/A,"otp/request/route.ts, forgot-password/request/route.ts",otp-utils.ts,OTP Generation,Utility functions for OTP operations,e:\Cavian\Cavian V0.1.0\lib\
Success Messages,Lib,Final,General,On local,1.0.0,N/A,"error-handler.ts, all API routes",success-messages.ts,Success Messages,Centralized success messages,e:\Cavian\Cavian V0.1.0\lib\
API Utils,Lib,Final,General,On local,1.0.0,"next/server, @prisma/client","all API routes",api-utils.ts,API Utilities,Common API utilities and helpers,e:\Cavian\Cavian V0.1.0\lib\
Barcode Utils,Lib,Final,General,On local,1.0.0,N/A,"products/route.ts, products/[id]/variants/route.ts",barcode-utils.ts,Barcode Generation,Utility functions for barcode generation,e:\Cavian\Cavian V0.1.0\lib\
Product Utils,Lib,Final,General,On local,1.0.0,"@prisma/client","products/route.ts, products/[id]/route.ts",product-utils.ts,Product Utilities,Product-related utility functions,e:\Cavian\Cavian V0.1.0\lib\
SKU Utils,Lib,Final,General,On local,1.0.0,N/A,"products/route.ts, products/[id]/variants/route.ts",sku-utils.ts,SKU Generation,Utility functions for SKU generation,e:\Cavian\Cavian V0.1.0\lib\
Validation,Lib,Final,General,On local,1.0.0,"zod","all API routes, product-utils.ts",validation.ts,Validation,Centralized validation schemas and functions,e:\Cavian\Cavian V0.1.0\lib\
Login API,API,Final,General,On local,1.0.0,"auth.ts, prisma.ts, error-handler.ts, bcryptjs","otp/verify/route.ts, logout/route.ts",route.ts,Authentication,Handles admin login with credentials,e:\Cavian\Cavian V0.1.0\src\app\api\admin\login\
Logout API,API,Final,General,On local,1.0.0,"auth.ts, prisma.ts, error-handler.ts","login/route.ts, auth.ts",route.ts,User Session,Handles admin logout functionality,e:\Cavian\Cavian V0.1.0\src\app\api\admin\logout\
OTP Request API,API,Final,General,On local,1.0.0,"kavenegar.ts, prisma.ts, error-handler.ts, rate-limiter.ts","otp/verify/route.ts, auth.ts",route.ts,Authentication,Handles OTP request for admin login,e:\Cavian\Cavian V0.1.0\src\app\api\admin\otp\request\
OTP Verify API,API,Final,General,On local,1.0.0,"auth.ts, prisma.ts, error-handler.ts","otp/request/route.ts, login/route.ts",route.ts,Authentication,Verifies OTP for admin login,e:\Cavian\Cavian V0.1.0\src\app\api\admin\otp\verify\
Admin Create API,API,Final,General,On local,1.0.0,"auth.ts, prisma.ts, error-handler.ts, bcryptjs","auth.ts, error-handler.ts, success-messages.ts",route.ts,Admin Management,Handles new admin creation,e:\Cavian\Cavian V0.1.0\src\app\api\admin\create\
Admin Edit API,API,Final,General,On local,1.0.0,"auth.ts, prisma.ts, error-handler.ts, bcryptjs","auth.ts, error-handler.ts, success-messages.ts",route.ts,Admin Management,Handles admin profile updates,e:\Cavian\Cavian V0.1.0\src\app\api\admin\edit\[id]\
Admin Delete API,API,Final,General,On local,1.0.0,"auth.ts, prisma.ts, error-handler.ts","auth.ts, error-handler.ts, success-messages.ts",route.ts,Admin Management,Handles admin account deletion,e:\Cavian\Cavian V0.1.0\src\app\api\admin\delete\[id]\
